CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0107,0.98,C0048,0.91,C0190,0.91
C0002,C0178,0.87,C0159,0.87,C0151,0.78
C0003,C0052,0.98,C0025,0.82,C0152,0.81
C0004,C0165,0.97,C0169,0.91,C0126,0.9
C0005,C0186,0.97,C0146,0.9,C0140,0.86
C0006,C0171,0.95,C0187,0.94,C0168,0.82
C0007,C0140,0.91,C0005,0.78,C0120,0.76
C0008,C0194,0.89,C0109,0.86,C0024,0.82
C0009,C0010,0.95,C0060,0.88,C0103,0.87
C0010,C0111,0.96,C0009,0.95,C0103,0.9
C0011,C0137,0.97,C0169,0.92,C0126,0.91
C0012,C0113,0.92,C0195,0.92,C0104,0.9
C0013,C0099,0.96,C0108,0.9,C0141,0.84
C0014,C0097,0.93,C0058,0.92,C0128,0.91
C0015,C0131,0.81,C0063,0.8,C0094,0.79
C0016,C0183,1.0,C0026,0.88,C0072,0.83
C0017,C0057,0.85,C0075,0.81,C0041,0.81
C0018,C0079,0.78,C0117,0.76,C0125,0.76
C0019,C0121,0.87,C0172,0.78,C0119,0.78
C0020,C0110,0.91,C0144,0.89,C0080,0.89
